month,m2,unit,source,time_scraped
Tháng 1/2026,0,Billion VND,https://funan.com.vn/vi/cat/du-lieu-vi-mo_5.html,2026-03-29 01:45:42.296270
Tháng 12/2025,0,Billion VND,https://funan.com.vn/vi/cat/du-lieu-vi-mo_5.html,2026-03-29 01:45:42.296270
Tháng 11/2025,0,Billion VND,https://funan.com.vn/vi/cat/du-lieu-vi-mo_5.html,2026-03-29 01:45:42.296270
Tháng 10/2025,0,Billion VND,https://funan.com.vn/vi/cat/du-lieu-vi-mo_5.html,2026-03-29 01:45:42.296270
Tháng 9/2025,19980717,Billion VND,https://funan.com.vn/vi/cat/du-lieu-vi-mo_5.html,2026-03-29 01:45:42.296270
Tháng 8/2025,19685504,Billion VND,https://funan.com.vn/vi/cat/du-lieu-vi-mo_5.html,2026-03-29 01:45:42.296270
Tháng 7/2025,19482760,Billion VND,https://funan.com.vn/vi/cat/du-lieu-vi-mo_5.html,2026-03-29 01:45:42.296270
Tháng 6/2025,19584434,Billion VND,https://funan.com.vn/vi/cat/du-lieu-vi-mo_5.html,2026-03-29 01:45:42.296270
Tháng 5/2025,18973143,Billion VND,https://funan.com.vn/vi/cat/du-lieu-vi-mo_5.html,2026-03-29 01:45:42.296270
Tháng 4/2025,18721571,Billion VND,https://funan.com.vn/vi/cat/du-lieu-vi-mo_5.html,2026-03-29 01:45:42.296270
Tháng 3/2025,18450042,Billion VND,https://funan.com.vn/vi/cat/du-lieu-vi-mo_5.html,2026-03-29 01:45:42.296270
Tháng 2/2025,18157191,Billion VND,https://funan.com.vn/vi/cat/du-lieu-vi-mo_5.html,2026-03-29 01:45:42.296270
Tháng 1/2025,18176926,Billion VND,https://funan.com.vn/vi/cat/du-lieu-vi-mo_5.html,2026-03-29 01:45:42.296270
Tháng 12/2024,17914566,Billion VND,https://funan.com.vn/vi/cat/du-lieu-vi-mo_5.html,2026-03-29 01:45:42.296270
Tháng 11/2024,17301843,Billion VND,https://funan.com.vn/vi/cat/du-lieu-vi-mo_5.html,2026-03-29 01:45:42.296270
Tháng 10/2024,17107320,Billion VND,https://funan.com.vn/vi/cat/du-lieu-vi-mo_5.html,2026-03-29 01:45:42.296270
Tháng 9/2024,16949072,Billion VND,https://funan.com.vn/vi/cat/du-lieu-vi-mo_5.html,2026-03-29 01:45:42.296270
Tháng 8/2024,16658293,Billion VND,https://funan.com.vn/vi/cat/du-lieu-vi-mo_5.html,2026-03-29 01:45:42.296270
Tháng 7/2024,16401397,Billion VND,https://funan.com.vn/vi/cat/du-lieu-vi-mo_5.html,2026-03-29 01:45:42.296270
Tháng 6/2024,16513106,Billion VND,https://funan.com.vn/vi/cat/du-lieu-vi-mo_5.html,2026-03-29 01:45:42.296270
Tháng 5/2024,16130057,Billion VND,https://funan.com.vn/vi/cat/du-lieu-vi-mo_5.html,2026-03-29 01:45:42.296270
Tháng 4/2024,16019364,Billion VND,https://funan.com.vn/vi/cat/du-lieu-vi-mo_5.html,2026-03-29 01:45:42.296270
Tháng 3/2024,16012915,Billion VND,https://funan.com.vn/vi/cat/du-lieu-vi-mo_5.html,2026-03-29 01:45:42.296270
Tháng 2/2024,15914067,Billion VND,https://funan.com.vn/vi/cat/du-lieu-vi-mo_5.html,2026-03-29 01:45:42.296270
Tháng 1/2024,15999293,Billion VND,https://funan.com.vn/vi/cat/du-lieu-vi-mo_5.html,2026-03-29 01:45:42.296270
Tháng 12/2023,15998956,Billion VND,https://funan.com.vn/vi/cat/du-lieu-vi-mo_5.html,2026-03-29 01:45:42.296270
Tháng 11/2023,15354119,Billion VND,https://funan.com.vn/vi/cat/du-lieu-vi-mo_5.html,2026-03-29 01:45:42.296270
Tháng 10/2023,15074263,Billion VND,https://funan.com.vn/vi/cat/du-lieu-vi-mo_5.html,2026-03-29 01:45:42.296270
Tháng 9/2023,15026012,Billion VND,https://funan.com.vn/vi/cat/du-lieu-vi-mo_5.html,2026-03-29 01:45:42.296270
Tháng 8/2023,14801154,Billion VND,https://funan.com.vn/vi/cat/du-lieu-vi-mo_5.html,2026-03-29 01:45:42.296270
Tháng 7/2023,14640943,Billion VND,https://funan.com.vn/vi/cat/du-lieu-vi-mo_5.html,2026-03-29 01:45:42.296270
Tháng 6/2023,14754221,Billion VND,https://funan.com.vn/vi/cat/du-lieu-vi-mo_5.html,2026-03-29 01:45:42.296270
Tháng 5/2023,14517832,Billion VND,https://funan.com.vn/vi/cat/du-lieu-vi-mo_5.html,2026-03-29 01:45:42.296270
Tháng 4/2023,14470593,Billion VND,https://funan.com.vn/vi/cat/du-lieu-vi-mo_5.html,2026-03-29 01:45:42.296270
Tháng 3/2023,14415021,Billion VND,https://funan.com.vn/vi/cat/du-lieu-vi-mo_5.html,2026-03-29 01:45:42.296270
Tháng 2/2023,14272184,Billion VND,https://funan.com.vn/vi/cat/du-lieu-vi-mo_5.html,2026-03-29 01:45:42.296270
Tháng 1/2023,14339502,Billion VND,https://funan.com.vn/vi/cat/du-lieu-vi-mo_5.html,2026-03-29 01:45:42.296270
Tháng 12/2022,14226792,Billion VND,https://funan.com.vn/vi/cat/du-lieu-vi-mo_5.html,2026-03-29 01:45:42.296270
Tháng 11/2022,13878503,Billion VND,https://funan.com.vn/vi/cat/du-lieu-vi-mo_5.html,2026-03-29 01:45:42.296270
Tháng 10/2022,13815145,Billion VND,https://funan.com.vn/vi/cat/du-lieu-vi-mo_5.html,2026-03-29 01:45:42.296270
Tháng 9/2022,13832397,Billion VND,https://funan.com.vn/vi/cat/du-lieu-vi-mo_5.html,2026-03-29 01:45:42.296270
Tháng 8/2022,13761019,Billion VND,https://funan.com.vn/vi/cat/du-lieu-vi-mo_5.html,2026-03-29 01:45:42.296270
Tháng 7/2022,13828044,Billion VND,https://funan.com.vn/vi/cat/du-lieu-vi-mo_5.html,2026-03-29 01:45:42.296270
Tháng 6/2022,13908338,Billion VND,https://funan.com.vn/vi/cat/du-lieu-vi-mo_5.html,2026-03-29 01:45:42.296270
Tháng 5/2022,13848264,Billion VND,https://funan.com.vn/vi/cat/du-lieu-vi-mo_5.html,2026-03-29 01:45:42.296270
Tháng 4/2022,13871751,Billion VND,https://funan.com.vn/vi/cat/du-lieu-vi-mo_5.html,2026-03-29 01:45:42.296270
Tháng 3/2022,13864061,Billion VND,https://funan.com.vn/vi/cat/du-lieu-vi-mo_5.html,2026-03-29 01:45:42.296270
Tháng 2/2022,13644750,Billion VND,https://funan.com.vn/vi/cat/du-lieu-vi-mo_5.html,2026-03-29 01:45:42.296270
Tháng 1/2022,13748740,Billion VND,https://funan.com.vn/vi/cat/du-lieu-vi-mo_5.html,2026-03-29 01:45:42.296270
Tháng 12/2021,13402097,Billion VND,https://funan.com.vn/vi/cat/du-lieu-vi-mo_5.html,2026-03-29 01:45:42.296270
Tháng 11/2021,13040842,Billion VND,https://funan.com.vn/vi/cat/du-lieu-vi-mo_5.html,2026-03-29 01:45:42.296270
Tháng 10/2021,12907567,Billion VND,https://funan.com.vn/vi/cat/du-lieu-vi-mo_5.html,2026-03-29 01:45:42.296270
Tháng 9/2021,12879090,Billion VND,https://funan.com.vn/vi/cat/du-lieu-vi-mo_5.html,2026-03-29 01:45:42.296270
Tháng 8/2021,12757648,Billion VND,https://funan.com.vn/vi/cat/du-lieu-vi-mo_5.html,2026-03-29 01:45:42.296270
Tháng 7/2021,12692256,Billion VND,https://funan.com.vn/vi/cat/du-lieu-vi-mo_5.html,2026-03-29 01:45:42.296270
Tháng 6/2021,12647703,Billion VND,https://funan.com.vn/vi/cat/du-lieu-vi-mo_5.html,2026-03-29 01:45:42.296270
Tháng 5/2021,12558573,Billion VND,https://funan.com.vn/vi/cat/du-lieu-vi-mo_5.html,2026-03-29 01:45:42.296270
Tháng 4/2021,12465012,Billion VND,https://funan.com.vn/vi/cat/du-lieu-vi-mo_5.html,2026-03-29 01:45:42.296270
Tháng 3/2021,12349750,Billion VND,https://funan.com.vn/vi/cat/du-lieu-vi-mo_5.html,2026-03-29 01:45:42.296270
Tháng 2/2021,12228211,Billion VND,https://funan.com.vn/vi/cat/du-lieu-vi-mo_5.html,2026-03-29 01:45:42.296270
Tháng 1/2021,12202217,Billion VND,https://funan.com.vn/vi/cat/du-lieu-vi-mo_5.html,2026-03-29 01:45:42.296270
Tháng 12/2020,12110606,Billion VND,https://funan.com.vn/vi/cat/du-lieu-vi-mo_5.html,2026-03-29 01:45:42.296270
Tháng 11/2020,11730140,Billion VND,https://funan.com.vn/vi/cat/du-lieu-vi-mo_5.html,2026-03-29 01:45:42.296270
Tháng 10/2020,11556445,Billion VND,https://funan.com.vn/vi/cat/du-lieu-vi-mo_5.html,2026-03-29 01:45:42.296270
Tháng 9/2020,11485845,Billion VND,https://funan.com.vn/vi/cat/du-lieu-vi-mo_5.html,2026-03-29 01:45:42.296270
Tháng 8/2020,11315994,Billion VND,https://funan.com.vn/vi/cat/du-lieu-vi-mo_5.html,2026-03-29 01:45:42.296270
Tháng 7/2020,11163361,Billion VND,https://funan.com.vn/vi/cat/du-lieu-vi-mo_5.html,2026-03-29 01:45:42.296270
Tháng 6/2020,11118423,Billion VND,https://funan.com.vn/vi/cat/du-lieu-vi-mo_5.html,2026-03-29 01:45:42.296270
Tháng 5/2020,10928485,Billion VND,https://funan.com.vn/vi/cat/du-lieu-vi-mo_5.html,2026-03-29 01:45:42.296270
Tháng 4/2020,10779851,Billion VND,https://funan.com.vn/vi/cat/du-lieu-vi-mo_5.html,2026-03-29 01:45:42.296270
Tháng 3/2020,10755572,Billion VND,https://funan.com.vn/vi/cat/du-lieu-vi-mo_5.html,2026-03-29 01:45:42.296270
Tháng 2/2020,10672880,Billion VND,https://funan.com.vn/vi/cat/du-lieu-vi-mo_5.html,2026-03-29 01:45:42.296270
Tháng 1/2020,10758024,Billion VND,https://funan.com.vn/vi/cat/du-lieu-vi-mo_5.html,2026-03-29 01:45:42.296270
Tháng 12/2019,10573725,Billion VND,https://funan.com.vn/vi/cat/du-lieu-vi-mo_5.html,2026-03-29 01:45:42.296270
Tháng 11/2019,10274960,Billion VND,https://funan.com.vn/vi/cat/du-lieu-vi-mo_5.html,2026-03-29 01:45:42.296270
Tháng 10/2019,10138630,Billion VND,https://funan.com.vn/vi/cat/du-lieu-vi-mo_5.html,2026-03-29 01:45:42.296270
Tháng 9/2019,10083735,Billion VND,https://funan.com.vn/vi/cat/du-lieu-vi-mo_5.html,2026-03-29 01:45:42.296270
Tháng 8/2019,9949135,Billion VND,https://funan.com.vn/vi/cat/du-lieu-vi-mo_5.html,2026-03-29 01:45:42.296270
Tháng 7/2019,9860081,Billion VND,https://funan.com.vn/vi/cat/du-lieu-vi-mo_5.html,2026-03-29 01:45:42.296270
Tháng 6/2019,9866484,Billion VND,https://funan.com.vn/vi/cat/du-lieu-vi-mo_5.html,2026-03-29 01:45:42.296270
Tháng 5/2019,9706888,Billion VND,https://funan.com.vn/vi/cat/du-lieu-vi-mo_5.html,2026-03-29 01:45:42.296270
Tháng 4/2019,9546608,Billion VND,https://funan.com.vn/vi/cat/du-lieu-vi-mo_5.html,2026-03-29 01:45:42.296270
Tháng 3/2019,9478157,Billion VND,https://funan.com.vn/vi/cat/du-lieu-vi-mo_5.html,2026-03-29 01:45:42.296270
Tháng 2/2019,9376631,Billion VND,https://funan.com.vn/vi/cat/du-lieu-vi-mo_5.html,2026-03-29 01:45:42.296270
Tháng 1/2019,9488086,Billion VND,https://funan.com.vn/vi/cat/du-lieu-vi-mo_5.html,2026-03-29 01:45:42.296270
Tháng 12/2018,9121583,Billion VND,https://funan.com.vn/vi/cat/du-lieu-vi-mo_5.html,2026-03-29 01:45:42.296270
Tháng 11/2018,9061689,Billion VND,https://funan.com.vn/vi/cat/du-lieu-vi-mo_5.html,2026-03-29 01:45:42.296270
Tháng 10/2018,8999033,Billion VND,https://funan.com.vn/vi/cat/du-lieu-vi-mo_5.html,2026-03-29 01:45:42.296270
Tháng 9/2018,8933435,Billion VND,https://funan.com.vn/vi/cat/du-lieu-vi-mo_5.html,2026-03-29 01:45:42.296270
Tháng 8/2018,8888384,Billion VND,https://funan.com.vn/vi/cat/du-lieu-vi-mo_5.html,2026-03-29 01:45:42.296270
Tháng 7/2018,8842552,Billion VND,https://funan.com.vn/vi/cat/du-lieu-vi-mo_5.html,2026-03-29 01:45:42.296270
Tháng 6/2018,8879582,Billion VND,https://funan.com.vn/vi/cat/du-lieu-vi-mo_5.html,2026-03-29 01:45:42.296270
Tháng 5/2018,8757588,Billion VND,https://funan.com.vn/vi/cat/du-lieu-vi-mo_5.html,2026-03-29 01:45:42.296270
Tháng 4/2018,8661255,Billion VND,https://funan.com.vn/vi/cat/du-lieu-vi-mo_5.html,2026-03-29 01:45:42.296270
Tháng 3/2018,8521098,Billion VND,https://funan.com.vn/vi/cat/du-lieu-vi-mo_5.html,2026-03-29 01:45:42.296270
Tháng 2/2018,8401534,Billion VND,https://funan.com.vn/vi/cat/du-lieu-vi-mo_5.html,2026-03-29 01:45:42.296270
Tháng 1/2018,8296475,Billion VND,https://funan.com.vn/vi/cat/du-lieu-vi-mo_5.html,2026-03-29 01:45:42.296270
Tháng 12/2017,8192548,Billion VND,https://funan.com.vn/vi/cat/du-lieu-vi-mo_5.html,2026-03-29 01:45:42.296270
Tháng 11/2017,8062576,Billion VND,https://funan.com.vn/vi/cat/du-lieu-vi-mo_5.html,2026-03-29 01:45:42.296270
Tháng 10/2017,7901462,Billion VND,https://funan.com.vn/vi/cat/du-lieu-vi-mo_5.html,2026-03-29 01:45:42.296270
Tháng 9/2017,7877753,Billion VND,https://funan.com.vn/vi/cat/du-lieu-vi-mo_5.html,2026-03-29 01:45:42.296270
Tháng 8/2017,7762372,Billion VND,https://funan.com.vn/vi/cat/du-lieu-vi-mo_5.html,2026-03-29 01:45:42.296270
Tháng 7/2017,7668850,Billion VND,https://funan.com.vn/vi/cat/du-lieu-vi-mo_5.html,2026-03-29 01:45:42.296270
Tháng 6/2017,7616856,Billion VND,https://funan.com.vn/vi/cat/du-lieu-vi-mo_5.html,2026-03-29 01:45:42.296270
Tháng 5/2017,7466760,Billion VND,https://funan.com.vn/vi/cat/du-lieu-vi-mo_5.html,2026-03-29 01:45:42.296270
Tháng 4/2017,7403116,Billion VND,https://funan.com.vn/vi/cat/du-lieu-vi-mo_5.html,2026-03-29 01:45:42.296270
Tháng 3/2017,7374307,Billion VND,https://funan.com.vn/vi/cat/du-lieu-vi-mo_5.html,2026-03-29 01:45:42.296270
Tháng 2/2017,7252377,Billion VND,https://funan.com.vn/vi/cat/du-lieu-vi-mo_5.html,2026-03-29 01:45:42.296270
Tháng 1/2017,7308746,Billion VND,https://funan.com.vn/vi/cat/du-lieu-vi-mo_5.html,2026-03-29 01:45:42.296270
Tháng 12/2016,7125801,Billion VND,https://funan.com.vn/vi/cat/du-lieu-vi-mo_5.html,2026-03-29 01:45:42.296270
Tháng 11/2016,6971061,Billion VND,https://funan.com.vn/vi/cat/du-lieu-vi-mo_5.html,2026-03-29 01:45:42.296270
Tháng 10/2016,6863455,Billion VND,https://funan.com.vn/vi/cat/du-lieu-vi-mo_5.html,2026-03-29 01:45:42.296270
Tháng 9/2016,6829893,Billion VND,https://funan.com.vn/vi/cat/du-lieu-vi-mo_5.html,2026-03-29 01:45:42.296270
Tháng 8/2016,6682211,Billion VND,https://funan.com.vn/vi/cat/du-lieu-vi-mo_5.html,2026-03-29 01:45:42.296270
Tháng 7/2016,6609446,Billion VND,https://funan.com.vn/vi/cat/du-lieu-vi-mo_5.html,2026-03-29 01:45:42.296270
Tháng 6/2016,6592394,Billion VND,https://funan.com.vn/vi/cat/du-lieu-vi-mo_5.html,2026-03-29 01:45:42.296270
Tháng 5/2016,6427397,Billion VND,https://funan.com.vn/vi/cat/du-lieu-vi-mo_5.html,2026-03-29 01:45:42.296270
Tháng 4/2016,6326334,Billion VND,https://funan.com.vn/vi/cat/du-lieu-vi-mo_5.html,2026-03-29 01:45:42.296270
Tháng 3/2016,6267958,Billion VND,https://funan.com.vn/vi/cat/du-lieu-vi-mo_5.html,2026-03-29 01:45:42.296270
Tháng 2/2016,6138610,Billion VND,https://funan.com.vn/vi/cat/du-lieu-vi-mo_5.html,2026-03-29 01:45:42.296270
Tháng 1/2016,6107942,Billion VND,https://funan.com.vn/vi/cat/du-lieu-vi-mo_5.html,2026-03-29 01:45:42.296270
Tháng 12/2015,6019609,Billion VND,https://funan.com.vn/vi/cat/du-lieu-vi-mo_5.html,2026-03-29 01:45:42.296270
Tháng 11/2015,5809442,Billion VND,https://funan.com.vn/vi/cat/du-lieu-vi-mo_5.html,2026-03-29 01:45:42.296270
Tháng 10/2015,5722963,Billion VND,https://funan.com.vn/vi/cat/du-lieu-vi-mo_5.html,2026-03-29 01:45:42.296270
Tháng 9/2015,5695769,Billion VND,https://funan.com.vn/vi/cat/du-lieu-vi-mo_5.html,2026-03-29 01:45:42.296270
Tháng 8/2015,5591611,Billion VND,https://funan.com.vn/vi/cat/du-lieu-vi-mo_5.html,2026-03-29 01:45:42.296270
Tháng 7/2015,5505640,Billion VND,https://funan.com.vn/vi/cat/du-lieu-vi-mo_5.html,2026-03-29 01:45:42.296270
Tháng 6/2015,5492731,Billion VND,https://funan.com.vn/vi/cat/du-lieu-vi-mo_5.html,2026-03-29 01:45:42.296270
Tháng 5/2015,5376435,Billion VND,https://funan.com.vn/vi/cat/du-lieu-vi-mo_5.html,2026-03-29 01:45:42.296270
Tháng 4/2015,5328232,Billion VND,https://funan.com.vn/vi/cat/du-lieu-vi-mo_5.html,2026-03-29 01:45:42.296270
Tháng 3/2015,5300817,Billion VND,https://funan.com.vn/vi/cat/du-lieu-vi-mo_5.html,2026-03-29 01:45:42.296270
Tháng 2/2015,5308012,Billion VND,https://funan.com.vn/vi/cat/du-lieu-vi-mo_5.html,2026-03-29 01:45:42.296270
Tháng 1/2015,5192194,Billion VND,https://funan.com.vn/vi/cat/du-lieu-vi-mo_5.html,2026-03-29 01:45:42.296270
Tháng 12/2014,5179216,Billion VND,https://funan.com.vn/vi/cat/du-lieu-vi-mo_5.html,2026-03-29 01:45:42.296270
Tháng 11/2014,4973579,Billion VND,https://funan.com.vn/vi/cat/du-lieu-vi-mo_5.html,2026-03-29 01:45:42.296270
Tháng 10/2014,4887877,Billion VND,https://funan.com.vn/vi/cat/du-lieu-vi-mo_5.html,2026-03-29 01:45:42.296270
Tháng 9/2014,4847017,Billion VND,https://funan.com.vn/vi/cat/du-lieu-vi-mo_5.html,2026-03-29 01:45:42.296270
Tháng 8/2014,4776680,Billion VND,https://funan.com.vn/vi/cat/du-lieu-vi-mo_5.html,2026-03-29 01:45:42.296270
Tháng 7/2014,4701924,Billion VND,https://funan.com.vn/vi/cat/du-lieu-vi-mo_5.html,2026-03-29 01:45:42.296270
Tháng 6/2014,4708299,Billion VND,https://funan.com.vn/vi/cat/du-lieu-vi-mo_5.html,2026-03-29 01:45:42.296270
Tháng 5/2014,4608425,Billion VND,https://funan.com.vn/vi/cat/du-lieu-vi-mo_5.html,2026-03-29 01:45:42.296270
Tháng 4/2014,4565050,Billion VND,https://funan.com.vn/vi/cat/du-lieu-vi-mo_5.html,2026-03-29 01:45:42.296270
Tháng 3/2014,4524885,Billion VND,https://funan.com.vn/vi/cat/du-lieu-vi-mo_5.html,2026-03-29 01:45:42.296270
Tháng 2/2014,4475609,Billion VND,https://funan.com.vn/vi/cat/du-lieu-vi-mo_5.html,2026-03-29 01:45:42.296270
Tháng 1/2014,4494180,Billion VND,https://funan.com.vn/vi/cat/du-lieu-vi-mo_5.html,2026-03-29 01:45:42.296270
Tháng 12/2013,4400692,Billion VND,https://funan.com.vn/vi/cat/du-lieu-vi-mo_5.html,2026-03-29 01:45:42.296270
Tháng 11/2013,4217699,Billion VND,https://funan.com.vn/vi/cat/du-lieu-vi-mo_5.html,2026-03-29 01:45:42.296270
Tháng 10/2013,4137265,Billion VND,https://funan.com.vn/vi/cat/du-lieu-vi-mo_5.html,2026-03-29 01:45:42.296270
Tháng 9/2013,4085496,Billion VND,https://funan.com.vn/vi/cat/du-lieu-vi-mo_5.html,2026-03-29 01:45:42.296270
Tháng 8/2013,4039750,Billion VND,https://funan.com.vn/vi/cat/du-lieu-vi-mo_5.html,2026-03-29 01:45:42.296270
Tháng 7/2013,3981117,Billion VND,https://funan.com.vn/vi/cat/du-lieu-vi-mo_5.html,2026-03-29 01:45:42.296270
Tháng 6/2013,3973449,Billion VND,https://funan.com.vn/vi/cat/du-lieu-vi-mo_5.html,2026-03-29 01:45:42.296270
Tháng 5/2013,3899158,Billion VND,https://funan.com.vn/vi/cat/du-lieu-vi-mo_5.html,2026-03-29 01:45:42.296270
Tháng 4/2013,3866254,Billion VND,https://funan.com.vn/vi/cat/du-lieu-vi-mo_5.html,2026-03-29 01:45:42.296270
Tháng 3/2013,3842421,Billion VND,https://funan.com.vn/vi/cat/du-lieu-vi-mo_5.html,2026-03-29 01:45:42.296270
Tháng 2/2013,3786543,Billion VND,https://funan.com.vn/vi/cat/du-lieu-vi-mo_5.html,2026-03-29 01:45:42.296270
Tháng 1/2013,3766292,Billion VND,https://funan.com.vn/vi/cat/du-lieu-vi-mo_5.html,2026-03-29 01:45:42.296270
Tháng 12/2012,3702867,Billion VND,https://funan.com.vn/vi/cat/du-lieu-vi-mo_5.html,2026-03-29 01:45:42.296270
Tháng 11/2012,3519376,Billion VND,https://funan.com.vn/vi/cat/du-lieu-vi-mo_5.html,2026-03-29 01:45:42.296270
Tháng 10/2012,3441875,Billion VND,https://funan.com.vn/vi/cat/du-lieu-vi-mo_5.html,2026-03-29 01:45:42.296270
Tháng 9/2012,3408877,Billion VND,https://funan.com.vn/vi/cat/du-lieu-vi-mo_5.html,2026-03-29 01:45:42.296270
Tháng 8/2012,3371651,Billion VND,https://funan.com.vn/vi/cat/du-lieu-vi-mo_5.html,2026-03-29 01:45:42.296270
Tháng 7/2012,3338824,Billion VND,https://funan.com.vn/vi/cat/du-lieu-vi-mo_5.html,2026-03-29 01:45:42.296270
Tháng 6/2012,3306645,Billion VND,https://funan.com.vn/vi/cat/du-lieu-vi-mo_5.html,2026-03-29 01:45:42.296270
Tháng 5/2012,3247187,Billion VND,https://funan.com.vn/vi/cat/du-lieu-vi-mo_5.html,2026-03-29 01:45:42.296270
Tháng 4/2012,3184846,Billion VND,https://funan.com.vn/vi/cat/du-lieu-vi-mo_5.html,2026-03-29 01:45:42.296270
Tháng 3/2012,3166352,Billion VND,https://funan.com.vn/vi/cat/du-lieu-vi-mo_5.html,2026-03-29 01:45:42.296270
Tháng 2/2012,2667978,Billion VND,https://funan.com.vn/vi/cat/du-lieu-vi-mo_5.html,2026-03-29 01:45:42.296270
Tháng 1/2012,2684768,Billion VND,https://funan.com.vn/vi/cat/du-lieu-vi-mo_5.html,2026-03-29 01:45:42.296270
Tháng 12/2011,2665046,Billion VND,https://funan.com.vn/vi/cat/du-lieu-vi-mo_5.html,2026-03-29 01:45:42.296270
Tháng 10/2011,2621877,Billion VND,https://funan.com.vn/vi/cat/du-lieu-vi-mo_5.html,2026-03-29 01:45:42.296270
Tháng 9/2011,2655290,Billion VND,https://funan.com.vn/vi/cat/du-lieu-vi-mo_5.html,2026-03-29 01:45:42.296270
Tháng 8/2011,2629925,Billion VND,https://funan.com.vn/vi/cat/du-lieu-vi-mo_5.html,2026-03-29 01:45:42.296270
Tháng 7/2011,2526026,Billion VND,https://funan.com.vn/vi/cat/du-lieu-vi-mo_5.html,2026-03-29 01:45:42.296270
Tháng 5/2011,2489685,Billion VND,https://funan.com.vn/vi/cat/du-lieu-vi-mo_5.html,2026-03-29 01:45:42.296270
Tháng 4/2011,2487246,Billion VND,https://funan.com.vn/vi/cat/du-lieu-vi-mo_5.html,2026-03-29 01:45:42.296270
Tháng 3/2011,2547125,Billion VND,https://funan.com.vn/vi/cat/du-lieu-vi-mo_5.html,2026-03-29 01:45:42.296270
Tháng 2/2011,2506026,Billion VND,https://funan.com.vn/vi/cat/du-lieu-vi-mo_5.html,2026-03-29 01:45:42.296270
Tháng 1/2011,2460990,Billion VND,https://funan.com.vn/vi/cat/du-lieu-vi-mo_5.html,2026-03-29 01:45:42.296270
Tháng 12/2010,2438955,Billion VND,https://funan.com.vn/vi/cat/du-lieu-vi-mo_5.html,2026-03-29 01:45:42.296270
Tháng 11/2010,2400087,Billion VND,https://funan.com.vn/vi/cat/du-lieu-vi-mo_5.html,2026-03-29 01:45:42.296270
Tháng 10/2010,2361219,Billion VND,https://funan.com.vn/vi/cat/du-lieu-vi-mo_5.html,2026-03-29 01:45:42.296270
Tháng 9/2010,2312635,Billion VND,https://funan.com.vn/vi/cat/du-lieu-vi-mo_5.html,2026-03-29 01:45:42.296270
Tháng 8/2010,2260357,Billion VND,https://funan.com.vn/vi/cat/du-lieu-vi-mo_5.html,2026-03-29 01:45:42.296270
Tháng 7/2010,2195254,Billion VND,https://funan.com.vn/vi/cat/du-lieu-vi-mo_5.html,2026-03-29 01:45:42.296270
Tháng 6/2010,2127370,Billion VND,https://funan.com.vn/vi/cat/du-lieu-vi-mo_5.html,2026-03-29 01:45:42.296270
Tháng 5/2010,2079540,Billion VND,https://funan.com.vn/vi/cat/du-lieu-vi-mo_5.html,2026-03-29 01:45:42.296270
Tháng 4/2010,2030008,Billion VND,https://funan.com.vn/vi/cat/du-lieu-vi-mo_5.html,2026-03-29 01:45:42.296270
Tháng 3/2010,1972413,Billion VND,https://funan.com.vn/vi/cat/du-lieu-vi-mo_5.html,2026-03-29 01:45:42.296270
Tháng 2/2010,1970404,Billion VND,https://funan.com.vn/vi/cat/du-lieu-vi-mo_5.html,2026-03-29 01:45:42.296270
Tháng 1/2010,1951164,Billion VND,https://funan.com.vn/vi/cat/du-lieu-vi-mo_5.html,2026-03-29 01:45:42.296270
Tháng 12/2009,2092447,Billion VND,https://funan.com.vn/vi/cat/du-lieu-vi-mo_5.html,2026-03-29 01:45:42.296270
Tháng 9/2009,1986084,Billion VND,https://funan.com.vn/vi/cat/du-lieu-vi-mo_5.html,2026-03-29 01:45:42.296270
Tháng 6/2009,1907523,Billion VND,https://funan.com.vn/vi/cat/du-lieu-vi-mo_5.html,2026-03-29 01:45:42.296270
Tháng 3/2009,1748226,Billion VND,https://funan.com.vn/vi/cat/du-lieu-vi-mo_5.html,2026-03-29 01:45:42.296270
